Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/27/2022,7/29/2022,Yes,0,US,282813,39.3
7/27/2022,7/30/2022,Yes,0,US,282813,51.3
7/27/2022,8/1/2022,Yes,0,US,282813,54.8
7/27/2022,8/2/2022,Yes,0,US,282813,20.4
7/27/2022,8/18/2022,Yes,0,US,282813,59.6
7/27/2022,7/28/2022,Yes,0,US,282814,23.2
7/27/2022,8/4/2022,Yes,0,US,282814,4
7/27/2022,8/5/2022,Yes,0,US,282814,0.3
7/27/2022,8/8/2022,Yes,0,US,282814,2.8
7/27/2022,7/27/2022,Yes,0,US,282814,7.4
7/27/2022,7/27/2022,Yes,0,IN,282817,0.1
7/27/2022,8/12/2022,Yes,0,EG,282820,0.8
7/27/2022,8/2/2022,Yes,0,EG,282820,1.1
7/27/2022,7/27/2022,Yes,0,GB,282821,0.2
7/27/2022,7/27/2022,Yes,0,CA,282824,6
7/27/2022,8/9/2022,Yes,1,PT,282825,56.5
7/27/2022,9/14/2022,Yes,1,PT,282825,0.1
7/27/2022,7/28/2022,Yes,0,US,282829,44
7/27/2022,7/29/2022,Yes,1,US,282829,23.6
7/27/2022,7/30/2022,Yes,1,US,282829,85.5
7/27/2022,8/9/2022,Yes,1,US,282829,16
7/27/2022,8/10/2022,Yes,1,US,282829,21.5
7/27/2022,8/14/2022,Yes,1,US,282829,15.8
7/27/2022,8/17/2022,Yes,1,US,282829,18.4
7/27/2022,8/18/2022,Yes,1,US,282829,24.7
7/27/2022,8/19/2022,Yes,1,US,282829,17.7
7/27/2022,8/23/2022,Yes,1,US,282829,12.5
7/27/2022,8/24/2022,Yes,1,US,282829,7.3
7/27/2022,9/3/2022,Yes,1,US,282829,2.1
7/27/2022,9/6/2022,Yes,1,US,282829,44
7/27/2022,7/27/2022,Yes,0,US,282829,1.2
7/27/2022,8/1/2022,Yes,1,US,282829,126.1
7/27/2022,8/3/2022,Yes,1,US,282829,154.3
7/27/2022,8/2/2022,Yes,1,US,282829,7.5
7/27/2022,8/4/2022,Yes,1,US,282829,80.1
7/27/2022,8/5/2022,Yes,1,US,282829,94.2
7/27/2022,8/7/2022,Yes,1,US,282829,62.8
7/27/2022,8/6/2022,Yes,1,US,282829,64.5
7/28/2022,7/28/2022,Yes,0,IN,282831,0.5
7/28/2022,7/28/2022,Yes,1,US,282833,0.2
7/28/2022,8/16/2022,Yes,1,US,282833,1
7/28/2022,7/28/2022,Yes,0,CA,282836,2.4
7/28/2022,7/28/2022,Yes,0,EG,282837,0.1
7/28/2022,7/31/2022,Yes,1,US,282838,5
7/28/2022,8/6/2022,Yes,1,US,282838,14.4
7/28/2022,8/2/2022,Yes,1,US,282838,61.2
7/28/2022,8/7/2022,Yes,1,US,282838,87
7/28/2022,8/3/2022,Yes,1,US,282838,10.1
7/28/2022,8/4/2022,Yes,1,US,282838,34.6
7/28/2022,8/5/2022,Yes,1,US,282838,4.4
7/28/2022,8/14/2022,Yes,1,US,282838,18.7
7/28/2022,8/15/2022,Yes,1,US,282838,19.5
7/28/2022,8/16/2022,Yes,1,US,282838,17.5
7/28/2022,8/17/2022,Yes,1,US,282838,7.1
7/28/2022,8/8/2022,Yes,1,US,282838,10.5
7/28/2022,8/23/2022,Yes,1,US,282838,1.6
7/28/2022,8/22/2022,Yes,1,US,282838,0.3
7/28/2022,8/9/2022,Yes,1,US,282838,24.6
7/28/2022,8/18/2022,Yes,1,US,282838,56.7
7/28/2022,8/13/2022,Yes,1,US,282838,6.9
7/28/2022,8/12/2022,Yes,1,US,282838,0.4
7/28/2022,7/28/2022,Yes,0,US,282839,43.1
7/28/2022,8/1/2022,Yes,1,US,282839,67.5
7/28/2022,9/30/2022,Yes,1,US,282839,94.9
7/28/2022,10/17/2022,Yes,1,US,282839,79.9
7/28/2022,10/19/2022,Yes,1,US,282839,5.8
7/28/2022,10/20/2022,Yes,1,US,282839,0.5
7/28/2022,9/27/2022,Yes,1,US,282839,11.9
7/28/2022,10/3/2022,Yes,1,US,282839,48.6
7/28/2022,10/10/2022,Yes,1,US,282839,38.4
7/28/2022,10/12/2022,Yes,1,US,282839,36.1
7/28/2022,10/13/2022,Yes,1,US,282839,15.4
7/28/2022,10/14/2022,Yes,1,US,282839,12.5
7/28/2022,9/15/2022,Yes,1,US,282839,4.8
7/28/2022,9/16/2022,Yes,1,US,282839,44.2
7/28/2022,9/21/2022,Yes,1,US,282839,2.8
7/28/2022,9/22/2022,Yes,1,US,282839,22.1
7/28/2022,9/23/2022,Yes,1,US,282839,76.9
7/28/2022,9/25/2022,Yes,1,US,282839,14.7
7/28/2022,9/28/2022,Yes,1,US,282839,9.4
7/28/2022,9/29/2022,Yes,1,US,282839,4
7/28/2022,9/5/2022,Yes,1,US,282839,37.8
7/28/2022,9/6/2022,Yes,1,US,282839,6.1
7/28/2022,9/8/2022,Yes,1,US,282839,2.4
7/28/2022,9/12/2022,Yes,1,US,282839,3.7
7/28/2022,9/13/2022,Yes,1,US,282839,1.7
7/28/2022,9/14/2022,Yes,1,US,282839,5
7/28/2022,9/17/2022,Yes,1,US,282839,47
7/28/2022,9/18/2022,Yes,1,US,282839,49.3
